date,unique_domains
2026-08-06,540071
2026-08-07,541182
2026-08-08,541771
2026-08-09,541941
2026-08-10,532703
2026-08-11,532687
2026-08-12,534450
2026-08-13,534511
2026-08-14,535157
2026-08-15,536017
2026-08-16,536163
2026-08-17,535811
2026-08-18,535625
2026-08-19,556723
2026-08-20,554640
2026-08-21,553327
2026-08-22,552636
2026-08-23,551480
2026-08-24,550249
2026-08-25,550647
2026-08-26,552078
2026-08-27,551301
2026-08-28,551926
2026-08-29,553140
2026-08-30,553812
2026-08-31,554844
2026-09-01,555959
2026-09-02,557522
2026-09-03,556911
2026-09-04,558318
2026-09-05,560725
